Formula	VBM	CBM BPE
CaO	1.6505	6.9604 1.2714
MgO	1.9935	8.541 5.8758
In2O3 2.164	4.6954 4.7227
Ga2O3 2.4803 6.6234 6.1338
SnO2 2.7752	5.6279 6.1685
CdO	0.8586 1.7018 3.3778
BaHgO2 -1.0813 2.7803 1.1869
CaCdO2 1.7381 3.4706 4.1805
CaCu2O4 2.0861 4.2829 3.3390
ZnO	-0.1575	2.2871 2.9901
CrCdO4 -1.7138 1.7507 -0.1759
Zn2PtO4	2.7775 5.0785 3.9624
CuAlO2 5.5451 8.9921 8.3760
SnO	4.6576 5.349 4.1531
