Formula	VBM	CBM BPE
CaO	1.6505	6.9604 6.3237
MgO	1.9935	8.541 9.9195
In2O3 2.164	4.6954 5.1154
Ga2O3 2.4803 6.6234 6.8188
SnO2 2.7752	5.6279 7.3278
CdO	0.8586 1.7018 6.8982
BaHgO2 -1.0813 2.7803 2.2238
CaCdO2 1.7381 3.4706 5.3346
CaCu2O4 2.0861 4.2829 4.4569
ZnO	-0.1575	2.2871 4.5124
CrCdO4 -1.7138 1.7507 0.1862
Zn2PtO4	2.7775 5.0785 4.6806
CuAlO2 5.5451 8.9921 10.0640
SnO	4.6576 5.349 5.7286
