Formula	VBM	CBM BPE
CaO	1.6505	6.9604 5.4057
MgO	1.9935	8.541 7.5661
In2O3 2.164	4.6954 4.5544
Ga2O3 2.4803 6.6234 6.1264
SnO2 2.7752	5.6279 5.9613
CdO	0.8586 1.7018 4.3490
BaHgO2 -1.0813 2.7803 1.4455
CaCdO2 1.7381 3.4706 4.4779
CaCu2O4 2.0861 4.2829 3.3949
ZnO	-0.1575	2.2871 3.1082
CrCdO4 -1.7138 1.7507 -0.0567
Zn2PtO4	2.7775 5.0785 4.0845
CuAlO2 5.5451 8.9921 8.2231
SnO	4.6576 5.349 4.8993
