formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap
La2Pd2O5,0.196,7.868574627395505,7.868574627395505,2.8622460897166033,2.4869000000000003
YAgO2,0.206,2.0817359710420447,2.081735971171262,6.530085838779677,4.2588
VAg3HgO4,0.217,0.5083153023241587,1.1262358810785076,1.0099625826904934,1.9730000000000003
Tl4V2O7,0.225,0.4893147493011237,0.48931474947213577,1.149473465204143,3.1568000000000005
ScAgO2,0.228,1.4950842994714748,1.4950842958718054,2.3196125959159324,3.6181
In6Ge2PtO9,0.24,2.2231958540181194,2.2231958540181194,2.2231958540181194,2.3949
Tl2SnO3,0.242,1.0934767758791424,0.4092516709450635,7.229682338374517,1.7176
In6Ga2PtO8,0.244,6.037520938175123,6.037520938175123,6.037520938175123,1.4745
KAgO,0.244,5.6553436082317905,5.655343608231792,2.248527779507065,3.7174
NaNbO2,0.256,0.5669693760973882,0.5669693761317284,1.2381445661306867,2.209199999999999
CaNb2O4,0.256,0.5741925355862143,0.8699262039628952,0.6055775241188812,2.0084
VAgO3,0.26,2.544522036891341,4.2606449445327,1.6885571337533154,2.673
K2Sn2O3,0.2639999999999999,0.2601829058920033,0.2601829058920033,0.2601829058920033,1.9424000000000001
TlSbO3,0.2639999999999999,0.9782787013065187,0.9782787030383773,0.5083813429421666,3.7209
NaTlO,0.266,1.2744888935550212,1.274488892696977,5.445060432968182,1.8307000000000002
GaAgO2,0.272,1.4686708875226533,1.468670885619196,1.4329253650306657,2.0340000000000007
HgAsO3,0.2739999999999999,1.647346492912169,1.6473464875279826,0.36523857447587693,2.6072
Ta2SnO6,0.276,1.0088000923639622,4.902203689234642,1.0456688722197334,2.9731000000000005
Hg2WO4,0.276,0.4843710784985385,1.1386720624031457,0.8394620224031766,2.7385
LaAg(MoO4)2,0.282,8.051471471205966,8.051666744646896,9.792711717738744,3.7217
LiNbO2,0.284,0.5402850217593212,0.5402850227120265,1.5913540161354724,2.2685000000000004
TlV2AgO6,0.284,7.124673204869988,9.329425299692188,10.424956375457228,3.1238
Rb2Sn2O3,0.285,0.23295452393486343,0.23295452295792332,0.32021939831313034,2.0496
AlAgO2,0.288,2.298101163104155,2.2981011684631913,1.8518549247205194,2.9765000000000006
BeTlAsO4,0.288,1.6880149952469783,1.1797520834552755,1.3621389264913606,5.28
Ba(AgO)2,0.296,1.1573308009858272,1.1573308009858276,3.284727293090444,3.1586
NaAgO,0.296,4.613767221699831,4.613767221699829,2.0629320489420437,2.8857000000000004
Sn5O6,0.296,0.618385968711055,0.49098908097339844,2.6009750095093147,2.2112000000000003
Na3AgO2,0.3,1.216928727387464,2.5946737228743566,0.38744854207335355,2.9977000000000005
AgAuO2,0.3,3.704456737314416,0.7147095999242005,1.5331100844686543,1.2439999999999998
Nb2SnO6,0.3,0.7162755977095813,3.928770858392938,1.15603333269954,2.3076000000000003
Li2PdO2,0.302,1.3575474100225113,3.700844649758811,2.443412672931776,3.2722
Ag2HgO2,0.304,3.645781431987676,3.645781431987676,1.3697077985356396,1.0446000000000004
BaLa2PtO5,0.304,4.038323334836404,4.038323334836404,1.3209859693951467,3.7211000000000007
NaAg3O2,0.312,0.6419571456686873,5.117462099970265,0.7046082458457333,1.7442000000000002
Tl3AsO4,0.316,5.087068544004598,5.087068547809869,0.8613891090108119,3.7329000000000003
LiAg3O2,0.316,0.7976386565760487,2.780828949516587,0.3074672234913897,1.7203
TiSnO3,0.32,0.370114770681479,0.3701147699798744,0.6564265879994775,1.7794999999999996
BaLa2PdO5,0.332,4.677166764540423,4.677166764540423,2.6396529228482835,4.2894
Na2ReO3,0.3399999999999999,2.4632356372545963,2.4632356406895854,6.742566966559,3.7100999999999997
Ca2Pt3O8,0.344,3.5937380279233415,3.593738028613143,2.926439888105252,2.8859
Rb2SnO2,0.348,1.7204685217888753,1.670642207568412,1.5801692621429642,3.8567000000000005
