formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
BaO,0.604,1.0731620728570177,1.0731620728570177,1.073162072857018,3.8012,1.073162072857018
Sb2O3,0.4240000000000001,1.145608203168371,0.6674577166834395,1.45459249584263,3.0061,1.089219471898147
Hg(AsO3)2,0.608,1.286284484772267,1.286284487751565,0.7051594765515309,2.6295,1.0925761496917874
Sr4As2O,0.035,1.080442743091294,1.080442743091294,1.1886461903829018,1.7496000000000005,1.1165105588551631
YTl(WO4)2,0.3840000000000001,1.2706208444291,0.902698635047644,1.2280221724277045,3.973500000000001,1.133780550634816
Hg(SbO3)2,0.6020000000000001,1.3405312647438747,1.3405312626586705,0.837339205025018,2.2003000000000004,1.1728005774758545
Ba2BiSbO6,0.6080000000000001,1.938125181526944,0.5496017335560016,1.1082876250443086,2.9361,1.1986715133757515
BiBO3,0.572,1.1548580132067057,1.783055332473197,0.6741789041798613,4.583399999999999,1.2040307499532545
HgAsO3,0.2739999999999999,1.647346492912169,1.6473464875279826,0.3652385744758769,2.6072,1.2199771849720096
Sn5O6,0.296,0.618385968711055,0.4909890809733984,2.6009750095093147,2.2112000000000003,1.2367833530645893
RbBa4Sb3O,0.0,0.684366842665726,0.684366842665726,2.4147801578050174,1.5108,1.2611712810454898
SrO,0.678,1.2935233309035732,1.2935233309035732,1.2935233309035732,5.5625,1.2935233309035732
LiAg3O2,0.316,0.7976386565760487,2.780828949516587,0.3074672234913897,1.7203,1.295311609861342
TlPd3O4,0.1119999999999999,1.3137907107411937,1.3137907107411937,1.3137907107411937,1.8579,1.3137907107411937
Cd(GaO2)2,0.692,1.3264344405598465,1.326434440559846,1.3264344405598465,3.7634,1.3264344405598463
Ba3Nb2ZnO9,0.7120000000000001,1.2989441788830722,1.2989441796752974,1.3917400091812298,4.332,1.3298761225798665
VBiO4,0.552,1.803070269553436,1.803070269553436,0.4408922917276641,3.6032,1.349010943611512
MoPbO4,0.544,0.8440454661279544,0.8424461922537818,2.4336926296274455,3.37,1.3733947626697274
CaO,0.705,1.3878623817624014,1.3878623817624014,1.3878623817624014,6.1487,1.3878623817624014
Na3AgO2,0.3,1.216928727387464,2.5946737228743566,0.3874485420733535,2.9977000000000005,1.3996836641117245
AlSbO4,0.784,1.0414850072018451,1.4863119145377015,1.6761360823282736,4.2661,1.40131100135594
Tl2O,0.53,2.024228260387729,2.0242282486498606,0.1579002903484811,0.6478999999999999,1.4021189331286903
BeTlAsO4,0.288,1.6880149952469783,1.1797520834552755,1.3621389264913606,5.28,1.4099686683978714
BaLa2O4,0.6279999999999999,1.4153677263244546,1.4153677263244546,1.4153677263244546,5.6265,1.4153677263244546
TlPt3O4,0.056,1.417176378655092,1.4171763786550922,1.417176378655092,1.9668,1.417176378655092
Bi2O3,0.5720000000000001,1.3461074780024025,2.0299333850473067,0.9552892654644922,3.1369,1.4437767095047338
La2Hf2O7,0.7440000000000001,1.4557427330905262,1.4557427330905262,1.4557427330905262,6.4231,1.4557427330905262
GaAgO2,0.272,1.4686708875226533,1.468670885619196,1.4329253650306657,2.0340000000000007,1.4567557127241717
Pb3O4,0.4640000000000001,1.4948984478038794,1.4948984478038794,1.3919685646424944,2.1612,1.4605884867500845
Ag2BiO3,0.5599999999999999,1.9825430533204784,1.04151530321928,1.3754121492042968,0.8470000000000004,1.4664901685813518
CrCdO4,0.7159999999999999,1.242478407146068,1.6163915927705306,1.5408924205233134,3.8403,1.4665874734799706
KLi6BiO6,0.728,1.7909090204622888,1.7909090196325868,0.8666575024821205,3.8761,1.4828251808589987
Y2Sn2O7,0.764,1.4995259590728724,1.4995259590728724,1.4995259590728722,5.0691999999999995,1.4995259590728722
Ba4PtO6,0.5159999999999999,1.645282804013912,1.6452828028530435,1.22224539466573,3.6014999999999997,1.5042703338442287
Mg(SbO3)2,0.7760000000000002,1.4705430454996078,1.4705430454996071,1.6113962543169928,3.5694999999999997,1.5174941151054024
Cd(AsO3)2,0.6940000000000001,1.6581859204588596,1.6581859189009476,1.242493346848552,4.5475,1.5196217287361196
Ba2LaBiO6,0.6720000000000002,2.0353097434569136,1.0428111763231511,1.4996810236816471,3.5502,1.5259339811539039
Ba4PdO6,0.564,1.689145349097275,1.6891453507193648,1.2241675192917507,3.0115000000000003,1.5341527397027968
Ba2Bi2O5,0.5800000000000001,1.618776037790124,1.13536872062973,1.8521181666272095,3.067499999999999,1.535420975015688
CaTiO3,0.7680000000000002,1.7684287280267648,1.280578434450496,1.5763588850186483,3.4723999999999995,1.5417886824986364
SnB4O7,0.47,1.318678526378246,1.5667645277549074,1.7741905646143743,5.466799999999999,1.5532112062491759
SnO2,0.768,1.3917547474097902,1.39175474740979,1.8889833609764837,3.0869,1.5574976185986882
Zn(GaO2)2,0.688,1.5645504349007118,1.5645504349007118,1.5645504349007118,5.0975,1.5645504349007118
GaSbO4,0.782,1.111232903765607,1.705231668726736,1.8901089667878064,3.2139,1.5688578464267167
KTlO,0.356,1.8377714808363377,1.5794798575873523,1.3050003740325409,2.1796,1.5740839041520769
VAg3O4,0.3719999999999999,2.0472355104939344,1.7181483101965485,1.0359231271384286,1.8390999999999995,1.6004356492763037
Y2Pb2O7,0.766,1.6072840485584412,1.6072840485584412,1.6072840485584412,2.4149000000000003,1.6072840485584414
Bi2Pt2O7,0.408,1.6142876904473018,1.6142876904473016,1.6142876904473016,1.5286999999999995,1.6142876904473014
Cs2HgO2,0.616,1.4823904520985431,1.482390452098543,1.88315053186678,4.5877,1.6159771453546223
LiSb3O8,0.7720000000000004,1.5292705566301972,1.5641991860454674,1.757292330268015,3.279,1.6169206909812266
Y2Pt2O7,0.376,1.6189636670908496,1.6189636670908496,1.6189636670908496,2.8507,1.6189636670908498
Tl2Pt2O7,0.452,1.620415556412146,1.620415556412146,1.6204155564121456,1.5457,1.620415556412146
K2Cd2O3,0.614,1.5535330087046877,0.9800742088398264,2.328465692987353,2.0759,1.6206909701772887
Ba2ZrSnO6,0.74,1.6290279239882148,1.6290279239882148,1.6290279239882148,6.1636999999999995,1.6290279239882148
Mg(SbO2)2,0.4520000000000002,1.492299880688532,1.4922998806885326,1.9422267527827504,3.7888,1.6422755047199384
La2Zr2O7,0.7380000000000001,1.6438444772827008,1.6438444772827008,1.6438444772827008,5.8523,1.6438444772827008
B4PbO7,0.6120000000000001,1.233506687909002,1.7030168522851126,1.996290443171763,6.3854,1.6442713277886256
Rb2SnO2,0.348,1.720468521788875,1.670642207568412,1.5801692621429642,3.856700000000001,1.6570933305000837
Ca3CdO4,0.652,1.892757254080131,1.567957397371492,1.5584498741748372,4.797499999999999,1.6730548418754865
Cd3SiO5,0.6460000000000001,1.1783612237345134,1.1783612237345134,2.6938771923967564,2.9297,1.6835332132885945
Al2ZnO4,0.6799999999999999,1.6852223033834324,1.6852223033834324,1.6852223033834324,7.340700000000001,1.6852223033834324
Sc2Pt2O7,0.372,1.6948106028542944,1.6948106028542935,1.6948106028542935,3.1181,1.6948106028542937
SrPbO3,0.7279999999999999,1.0265359733041042,2.465218078463401,1.671067812714755,1.7071999999999998,1.7209406214940868
Ta2Cd2O7,0.6160000000000001,1.732552138237552,1.732552138237552,1.732552138237552,3.621,1.732552138237552
CdAuO2,0.5,1.410514534772099,1.5313015837058437,2.2612738694722267,1.9834,1.7343633293167233
TiCdO3,0.694,1.596775724483705,1.5967757307704689,2.0646376685522676,4.3587,1.7527297079354807
