CrCdO4, 0.716, 0.504
CaCdO2, 0.640, 0.450
HgO, 0.602, 0.426
Li3AuO3, 0.572, 0.392
NaBiO2, 0.552, 0.388
CsK2AuO2, 0.502, 0.352
Li8PtO6, 0.446, 0.312
Rb2Sn2O3, 0.285, 0.193
La3SbO3, 0.044, 0.030
