formula,O-2p
BiSbO4,0.6040000000000001
BiO2,0.6059999999999999
Rb2Zn3O4,0.6079999999999999
Cs3YO3,0.608
Hg(AsO3)2,0.608
Cs3ScO3,0.6080000000000001
Ba2BiSbO6,0.6080000000000001
Ba2ZnGe2O7,0.6080000000000001
Na2Zn2O3,0.6080000000000001
K3AuO,0.609
KLiZn3O4,0.61
RbLiZn2O3,0.6100000000000001
Cs3AuO,0.612
Na2BiO3,0.6120000000000001
B4PbO7,0.6120000000000001
Ba2ZnO3,0.6120000000000001
K2Cd2O3,0.614
Sr2CeO4,0.6159999999999999
Sr(BiO2)2,0.616
Cs2HgO2,0.616
Na2ZnO2,0.6160000000000001
CdBiO3,0.6160000000000001
Ta2Cd2O7,0.6160000000000001
BaHgO2,0.618
Cs3TlO3,0.6200000000000001
TiBi2O5,0.6200000000000001
BiAsO4,0.6200000000000003
KZn4(SbO4)3,0.6219999999999999
NaAgO2,0.622
TlBi(WO4)2,0.6220000000000001
Cs3InO3,0.624
Ba2TaBiO6,0.624
K2CdO2,0.6240000000000001
Rb2CdO2,0.6240000000000001
KLiZnO2,0.626
Na2Zn(SiO3)2,0.6260000000000002
KBi(WO4)2,0.6279999999999999
BaLa2O4,0.6279999999999999
KNaZnO2,0.628
KLaO2,0.628
Rb2Cd2O3,0.63
K6MgO4,0.63
V2Zn2O7,0.6300000000000001
Rb3TlO3,0.6319999999999999
Rb3InO3,0.632
Al4Bi2O9,0.6320000000000001
Rb2HgO2,0.634
SrZnO2,0.6359999999999999
Na6ZnO4,0.6359999999999999
Zn(SbO3)2,0.636
Na14Cd2O9,0.636
Cs3AlO3,0.638
Cs3GaO3,0.64
K2HgO2,0.64
CaCdO2,0.64
Cs2Li3GaO4,0.64
Cs2BeO2,0.6400000000000001
Sr2ZnSi2O7,0.6400000000000001
Sr2ZnGe2O7,0.6410000000000001
K2Zn(GeO3)2,0.6420000000000001
BaZn2Si2O7,0.6420000000000001
ZnWO4,0.6439999999999999
La2HgO4,0.644
Rb3GaO3,0.644
CsLaO2,0.644
Ca(CuO2)2,0.6440000000000001
Na2ZnGeO4,0.646
K2Zn(SiO3)2,0.646
Cd3SiO5,0.6460000000000001
Rb2CeO3,0.648
Li6ZnO4,0.648
Ba2CdGe2O7,0.648
RbNaCd3O4,0.65
Cs3AlGe2O7,0.6500000000000001
Zn3(AsO4)2,0.6519999999999999
CsYO2,0.652
